Document Type,Document Link,Description,Date
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222011465/0001127602-22-011465-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-011465 Size: 9 KB",4/5/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222011458/0001127602-22-011458-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-011458 Size: 9 KB",4/5/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222011450/0001127602-22-011450-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-011450 Size: 9 KB",4/5/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222011446/0001127602-22-011446-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-011446 Size: 7 KB",4/5/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222011438/0001127602-22-011438-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-011438 Size: 9 KB",4/5/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222011429/0001127602-22-011429-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-011429 Size: 9 KB",4/5/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222010018/0001127602-22-010018-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-010018 Size: 6 KB",3/21/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222009662/0001127602-22-009662-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-009662 Size: 11 KB",3/17/2022
PX14A6G,https://www.sec.gov/Archives/edgar/data/21344/000121465922003982/0001214659-22-003982-index.htm,"Notice of exempt solicitation submitted by non-management
Acc-no: 0001214659-22-003982 (34 Act)  Size: 162 KB",3/16/2022
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000120677422000671/0001206774-22-000671-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001206774-22-000671 (34 Act)  Size: 1 MB",3/11/2022
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000120677422000670/0001206774-22-000670-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001206774-22-000670 (34 Act)  Size: 373 KB",3/11/2022
DEF 14A,https://www.sec.gov/Archives/edgar/data/21344/000120677422000669/0001206774-22-000669-index.htm,"Other definitive proxy statements
Acc-no: 0001206774-22-000669 (34 Act)  Size: 18 MB",3/11/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222008538/0001127602-22-008538-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-008538 Size: 11 KB",3/8/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222008219/0001127602-22-008219-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-008219 Size: 10 KB",3/4/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222008217/0001127602-22-008217-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-008217 Size: 7 KB",3/4/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222007039/0001127602-22-007039-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-007039 Size: 7 KB",2/28/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222007030/0001127602-22-007030-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-007030 Size: 11 KB",2/28/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222006750/0001127602-22-006750-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-006750 Size: 7 KB",2/25/2022
S-8,https://www.sec.gov/Archives/edgar/data/21344/000155278122000200/0001552781-22-000200-index.htm,"Securities to be offered to employees in employee benefit plans
Acc-no: 0001552781-22-000200 (33 Act)  Size: 143 KB",2/24/2022
S-8,https://www.sec.gov/Archives/edgar/data/21344/000155278122000199/0001552781-22-000199-index.htm,"Securities to be offered to employees in employee benefit plans
Acc-no: 0001552781-22-000199 (33 Act)  Size: 132 KB",2/24/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222006571/0001127602-22-006571-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-006571 Size: 7 KB",2/24/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222006541/0001127602-22-006541-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-006541 Size: 7 KB",2/24/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222006539/0001127602-22-006539-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-006539 Size: 7 KB",2/24/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005991/0001127602-22-005991-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005991 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005989/0001127602-22-005989-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005989 Size: 14 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005987/0001127602-22-005987-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005987 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005985/0001127602-22-005985-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005985 Size: 14 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005983/0001127602-22-005983-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005983 Size: 14 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005981/0001127602-22-005981-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005981 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005979/0001127602-22-005979-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005979 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005977/0001127602-22-005977-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005977 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005975/0001127602-22-005975-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005975 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005973/0001127602-22-005973-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005973 Size: 14 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005971/0001127602-22-005971-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005971 Size: 8 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005967/0001127602-22-005967-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005967 Size: 14 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005964/0001127602-22-005964-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005964 Size: 14 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005962/0001127602-22-005962-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005962 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222005960/0001127602-22-005960-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-005960 Size: 11 KB",2/22/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222004280/0001127602-22-004280-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-004280 Size: 11 KB",2/10/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222004190/0001127602-22-004190-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-004190 Size: 12 KB",2/10/2022
SC 13G/A,https://www.sec.gov/Archives/edgar/data/21344/000110465922016854/0001104659-22-016854-index.htm,"[Amend] Statement of Beneficial Ownership by Certain Investors
Acc-no: 0001104659-22-016854 (34 Act)  Size: 12 KB",2/9/2022
SC 13G/A,https://www.sec.gov/Archives/edgar/data/21344/000083423722004058/0000834237-22-004058-index.htm,"[Amend] Statement of Beneficial Ownership by Certain Investors
Acc-no: 0000834237-22-004058 (34 Act)  Size: 13 KB",2/1/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000155278122000077/0001552781-22-000077-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001552781-22-000077 Size: 21 KB",1/18/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222001102/0001127602-22-001102-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-001102 Size: 15 KB",1/6/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222001097/0001127602-22-001097-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-001097 Size: 13 KB",1/6/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222001053/0001127602-22-001053-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-001053 Size: 11 KB",1/6/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760222001051/0001127602-22-001051-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-22-001051 Size: 11 KB",1/6/2022
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221032000/0001127602-21-032000-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-032000 Size: 11 KB",12/30/2021
3,https://www.sec.gov/Archives/edgar/data/21344/000112760221031824/0001127602-21-031824-index.htm,"Initial statement of beneficial ownership of securities
Acc-no: 0001127602-21-031824 Size: 7 KB",12/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221031087/0001127602-21-031087-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-031087 Size: 11 KB",12/16/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221030961/0001127602-21-030961-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-030961 Size: 13 KB",12/15/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221029908/0001127602-21-029908-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-029908 Size: 11 KB",12/1/2021
4/A,https://www.sec.gov/Archives/edgar/data/21344/000112760221029771/0001127602-21-029771-index.htm,"[Amend] Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-029771 Size: 7 KB",11/29/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221029535/0001127602-21-029535-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-029535 Size: 9 KB",11/18/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221028684/0001127602-21-028684-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-028684 Size: 10 KB",11/9/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221028674/0001127602-21-028674-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-028674 Size: 14 KB",11/9/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221024573/0001127602-21-024573-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-024573 Size: 6 KB",8/31/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221023567/0001127602-21-023567-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-023567 Size: 8 KB",8/12/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221023515/0001127602-21-023515-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-023515 Size: 10 KB",8/11/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221022543/0001127602-21-022543-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-022543 Size: 11 KB",7/28/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221022279/0001127602-21-022279-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-022279 Size: 10 KB",7/20/2021
11-K,https://www.sec.gov/Archives/edgar/data/21344/000002134421000018/0000021344-21-000018-index.htm,"Annual report of employee stock purchase, savings and similar plans
Acc-no: 0000021344-21-000018 (34 Act)  Size: 461 KB",6/21/2021
11-K,https://www.sec.gov/Archives/edgar/data/21344/000002134421000016/0000021344-21-000016-index.htm,"Annual report of employee stock purchase, savings and similar plans
Acc-no: 0000021344-21-000016 (34 Act)  Size: 494 KB",6/21/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221019341/0001127602-21-019341-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-019341 Size: 8 KB",6/7/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221017360/0001127602-21-017360-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-017360 Size: 6 KB",5/19/2021
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278121000412/0001552781-21-000412-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-21-000412 (33 Act)  Size: 544 KB",5/12/2021
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278121000392/0001552781-21-000392-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-21-000392 (34 Act)  Size: 37 KB",5/10/2021
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278121000388/0001552781-21-000388-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-21-000388 (33 Act)  Size: 542 KB",5/10/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221015804/0001127602-21-015804-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-015804 Size: 10 KB",5/7/2021
CERT,https://www.sec.gov/Archives/edgar/data/21344/000087666121000669/0000876661-21-000669-index.htm,"Certification by an exchange approving securities for listing
Acc-no: 0000876661-21-000669 (34 Act)  Size: 668 KB",5/6/2021
8-A12B,https://www.sec.gov/Archives/edgar/data/21344/000155278121000353/0001552781-21-000353-index.htm,"Registration of securities [Section 12(b)]
Acc-no: 0001552781-21-000353 (34 Act)  Size: 139 KB",5/6/2021
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278121000268/0001552781-21-000268-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-21-000268 (33 Act)  Size: 510 KB",4/30/2021
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278121000267/0001552781-21-000267-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-21-000267 (33 Act)  Size: 565 KB",4/30/2021
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278121000261/0001552781-21-000261-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-21-000261 (34 Act)  Size: 33 KB",4/29/2021
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278121000259/0001552781-21-000259-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-21-000259 (34 Act)  Size: 42 KB",4/28/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221014559/0001127602-21-014559-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-014559 Size: 7 KB",4/28/2021
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278121000257/0001552781-21-000257-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-21-000257 (33 Act)  Size: 502 KB",4/28/2021
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278121000254/0001552781-21-000254-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-21-000254 (33 Act)  Size: 567 KB",4/28/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221014503/0001127602-21-014503-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-014503 Size: 8 KB",4/27/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221014392/0001127602-21-014392-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-014392 Size: 8 KB",4/26/2021
3,https://www.sec.gov/Archives/edgar/data/21344/000112760221014371/0001127602-21-014371-index.htm,"Initial statement of beneficial ownership of securities
Acc-no: 0001127602-21-014371 Size: 21 KB",4/26/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221014370/0001127602-21-014370-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-014370 Size: 8 KB",4/26/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221014329/0001127602-21-014329-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-014329 Size: 7 KB",4/23/2021
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000120677421001080/0001206774-21-001080-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001206774-21-001080 (34 Act)  Size: 326 KB",4/12/2021
25-NSE,https://www.sec.gov/Archives/edgar/data/21344/000087666121000513/0000876661-21-000513-index.htm,"Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities
Acc-no: 0000876661-21-000513 (34 Act)  Size: 3 KB",4/8/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013172/0001127602-21-013172-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013172 Size: 10 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013163/0001127602-21-013163-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013163 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013153/0001127602-21-013153-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013153 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013147/0001127602-21-013147-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013147 Size: 8 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013142/0001127602-21-013142-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013142 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013138/0001127602-21-013138-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013138 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013136/0001127602-21-013136-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013136 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013130/0001127602-21-013130-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013130 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013124/0001127602-21-013124-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013124 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013118/0001127602-21-013118-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013118 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221013108/0001127602-21-013108-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-013108 Size: 6 KB",4/5/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221012305/0001127602-21-012305-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-012305 Size: 13 KB",3/30/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221011804/0001127602-21-011804-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-011804 Size: 6 KB",3/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221010205/0001127602-21-010205-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-010205 Size: 4 KB",3/11/2021
CERT,https://www.sec.gov/Archives/edgar/data/21344/000087666121000349/0000876661-21-000349-index.htm,"Certification by an exchange approving securities for listing
Acc-no: 0000876661-21-000349 (34 Act)  Size: 102 KB",3/9/2021
8-A12B,https://www.sec.gov/Archives/edgar/data/21344/000155278121000085/0001552781-21-000085-index.htm,"Registration of securities [Section 12(b)]
Acc-no: 0001552781-21-000085 (34 Act)  Size: 232 KB",3/9/2021
25-NSE,https://www.sec.gov/Archives/edgar/data/21344/000087666121000335/0000876661-21-000335-index.htm,"Notification filed by national security exchange to report the removal from listing and registration of matured, redeemed or retired securities
Acc-no: 0000876661-21-000335 (34 Act)  Size: 3 KB",3/8/2021
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000120677421000599/0001206774-21-000599-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001206774-21-000599 (34 Act)  Size: 4 MB",3/4/2021
DEFA14A,https://www.sec.gov/Archives/edgar/data/21344/000120677421000598/0001206774-21-000598-index.htm,"Additional definitive proxy soliciting materials and Rule 14(a)(12) material
Acc-no: 0001206774-21-000598 (34 Act)  Size: 490 KB",3/4/2021
DEF 14A,https://www.sec.gov/Archives/edgar/data/21344/000120677421000597/0001206774-21-000597-index.htm,"Other definitive proxy statements
Acc-no: 0001206774-21-000597 (34 Act)  Size: 17 MB",3/4/2021
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278121000068/0001552781-21-000068-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-21-000068 (33 Act)  Size: 471 KB",3/3/2021
424B2,https://www.sec.gov/Archives/edgar/data/21344/000155278121000067/0001552781-21-000067-index.htm,"Prospectus [Rule 424(b)(2)]
Acc-no: 0001552781-21-000067 (33 Act)  Size: 547 KB",3/3/2021
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278121000064/0001552781-21-000064-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-21-000064 (34 Act)  Size: 36 KB",3/2/2021
FWP,https://www.sec.gov/Archives/edgar/data/21344/000155278121000063/0001552781-21-000063-index.htm,"Filing under Securities Act Rules 163/433 of free writing prospectuses
Acc-no: 0001552781-21-000063 (34 Act)  Size: 42 KB",3/2/2021
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278121000056/0001552781-21-000056-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-21-000056 (33 Act)  Size: 474 KB",3/1/2021
424B5,https://www.sec.gov/Archives/edgar/data/21344/000155278121000050/0001552781-21-000050-index.htm,"Prospectus [Rule 424(b)(5)]
Acc-no: 0001552781-21-000050 (33 Act)  Size: 555 KB",3/1/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007304/0001127602-21-007304-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007304 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007299/0001127602-21-007299-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007299 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007289/0001127602-21-007289-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007289 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007282/0001127602-21-007282-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007282 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007262/0001127602-21-007262-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007262 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007259/0001127602-21-007259-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007259 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007256/0001127602-21-007256-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007256 Size: 4 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007249/0001127602-21-007249-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007249 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007245/0001127602-21-007245-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007245 Size: 5 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007242/0001127602-21-007242-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007242 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007239/0001127602-21-007239-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007239 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007237/0001127602-21-007237-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007237 Size: 7 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007235/0001127602-21-007235-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007235 Size: 4 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221007232/0001127602-21-007232-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-007232 Size: 4 KB",2/23/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006960/0001127602-21-006960-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006960 Size: 11 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006959/0001127602-21-006959-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006959 Size: 8 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006958/0001127602-21-006958-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006958 Size: 11 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006957/0001127602-21-006957-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006957 Size: 11 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006954/0001127602-21-006954-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006954 Size: 8 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006951/0001127602-21-006951-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006951 Size: 8 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006950/0001127602-21-006950-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006950 Size: 8 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006949/0001127602-21-006949-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006949 Size: 11 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006947/0001127602-21-006947-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006947 Size: 11 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006945/0001127602-21-006945-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006945 Size: 11 KB",2/22/2021
4,https://www.sec.gov/Archives/edgar/data/21344/000112760221006944/0001127602-21-006944-index.htm,"Statement of changes in beneficial ownership of securities
Acc-no: 0001127602-21-006944 Size: 11 KB",2/22/2021
